Date,Open,High,Low,Close,Adj Close,Volume
2017-02-20,178.125046,179.025040,177.393799,178.368790,176.178787,1527271
2017-02-21,178.125046,180.281296,177.806290,178.425049,176.234360,3414705
2017-02-22,178.162537,179.081299,176.325043,177.937546,175.752838,2779388
2017-02-23,177.937546,183.468796,176.831299,182.287552,180.049454,4346932
2017-02-27,180.000046,184.725052,179.868790,183.656296,181.401382,3764100
2017-02-28,183.750046,184.575043,182.643799,183.300049,181.049500,2700569
2017-03-01,183.000046,185.681290,182.175049,183.206299,180.956894,2713151
2017-03-02,185.250046,185.793793,183.037552,183.825043,181.568054,2711537
2017-03-03,184.050049,185.868790,182.700043,185.193802,182.920013,1973647
2017-03-06,184.237549,184.743790,183.225052,184.462540,182.197708,1571650
2017-03-07,185.062546,187.350052,184.462540,185.681290,183.401520,4400540
2017-03-08,185.493790,186.075043,183.487549,185.662552,183.383011,1532335
2017-03-09,184.875046,184.875046,181.256302,181.687546,179.456787,1879719
2017-03-10,181.912552,183.356293,181.350052,182.643799,180.401306,1457202
2017-03-14,183.750046,189.225052,183.525040,188.006302,185.697998,3276623
2017-03-15,189.637543,189.712540,184.650040,185.550049,183.271896,4803804
2017-03-16,186.487549,188.587540,185.625046,187.706299,185.401657,4424444
2017-03-17,189.000046,190.125046,187.106293,189.093796,186.772125,4437908
2017-03-20,189.000046,189.093796,185.700043,186.562546,184.271957,1875940
2017-03-21,184.912552,188.250046,184.912552,186.993790,184.697906,2975695
2017-03-22,185.062546,188.775040,184.500046,187.706299,185.401657,5310041
2017-03-23,188.625046,192.000046,187.837540,191.250046,188.901917,7461435
2017-03-24,191.043793,192.750046,191.043793,192.468796,190.105682,4031028
2017-03-27,190.631302,192.168793,188.550049,189.000046,186.679535,2616356
2017-03-28,189.375046,191.625046,188.512543,190.331299,187.994431,1661626
2017-03-29,190.668793,192.712555,188.325043,192.093796,189.735291,2690353
2017-03-30,191.531296,194.512543,189.900040,193.481293,191.105759,7145160
2017-03-31,192.075043,194.118805,191.175049,193.387543,191.013138,4030822
2017-04-03,193.668793,193.687546,189.618790,190.162552,187.827759,2080143
2017-04-05,189.750046,192.000046,188.287552,191.493790,189.142654,3251407
2017-04-06,190.162552,193.331299,189.918793,193.012543,190.642761,3990145
2017-04-07,192.525055,192.562546,190.837540,191.962540,189.605637,6098489
2017-04-10,193.106293,194.175049,188.437546,189.150040,186.827667,6899403
2017-04-11,188.925049,191.775040,187.575043,191.306290,188.957443,3151996
2017-04-12,191.137543,191.193802,187.237549,187.781296,185.475739,3629161
2017-04-13,187.781296,188.981293,184.612549,185.775040,183.494125,4837382
2017-04-17,185.906296,185.906296,183.787552,184.612549,182.345886,3899129
2017-04-18,184.125046,186.656296,183.975052,185.250046,182.975586,3142655
2017-04-19,186.562546,187.331299,183.862549,186.843796,184.549759,3271729
2017-04-20,186.750046,189.412552,186.018799,187.406296,185.105347,2512823
2017-04-21,187.500046,188.775040,181.125046,184.218796,181.956970,4222900
2017-04-24,182.775040,185.625046,181.725052,184.331299,182.068085,3443676
2017-04-25,185.062546,187.500046,183.431290,185.362549,183.086685,5885353
2017-04-26,188.625046,192.187546,183.225052,184.068802,181.808823,30257016
2017-04-27,185.212540,186.806290,183.150040,186.018799,183.734894,9932050
2017-04-28,186.375046,186.637543,183.768799,185.343796,183.068176,6043331
2017-05-02,186.056290,186.731293,185.100052,185.587540,183.308929,2784247
2017-05-03,186.787552,187.387543,185.343796,186.168793,183.883041,2032690
2017-05-04,186.431290,187.987549,185.212540,187.481293,185.179428,2024463
2017-05-05,187.387543,187.875046,186.131302,187.237549,184.938675,1361452
2017-05-08,187.500046,189.112549,186.037552,188.362549,186.049866,2501020
2017-05-09,189.000046,191.156296,187.706299,190.837540,188.494461,3790916
2017-05-10,190.275040,191.306290,186.993790,187.368790,185.068298,2229532
2017-05-11,188.568802,189.656296,187.650040,189.243790,186.920273,1696898
2017-05-12,189.618790,190.425049,189.075043,190.143799,187.809235,3015551
2017-05-15,191.250046,191.250046,188.118790,189.862549,187.531433,1774834
2017-05-16,189.562546,193.575043,189.562546,193.256302,190.883530,3573423
2017-05-17,193.875046,194.062546,190.500046,191.456299,189.105606,3681313
2017-05-18,190.106293,197.943802,189.675049,197.025055,194.606003,8561821
2017-05-19,197.625046,197.943802,194.268799,194.906296,192.513245,2548807
